id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
160723.0;2018-08-15;quarta-feira;06:20:00;262.0;6.3;CARIACICA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-20.3404;-40.395
153120.0;2018-08-15;quarta-feira;07:00:00;101.0;293.3;CARIACICA;Falta de Atenção à Condução;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;1;1;0;1;2;1;-20.31711597;-40.39575219
153196.0;2018-08-15;quarta-feira;12:30:00;101.0;211.5;IBIRACU;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;1;2;-19.81068865;-40.36618888
153212.0;2018-08-15;quarta-feira;15:00:00;262.0;142.0;IBATIBA;Desobediência às normas de trânsito pelo condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;Não;1;0;1;0;0;0;1;1;-20.22956326;-41.37807369
153217.0;2018-08-15;quarta-feira;15:45:00;101.0;269.0;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;3;0;0;2;1;0;2;2;-20.22185099;-40.27029779
153253.0;2018-08-15;quarta-feira;18:00:00;262.0;2.9;CARIACICA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;1;0;1;1;1;1;-20.3332;-40.3685
153268.0;2018-08-15;quarta-feira;18:30:00;101.0;270.7;SERRA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Múltipla;Interseção de vias;Sim;2;0;1;0;1;0;1;2;-20.23049162;-40.2734226
153432.0;2018-08-16;quinta-feira;17:40:00;101.0;265.1;SERRA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;4;0;1;0;3;0;1;3;-20.1897811;-40.2685508
153441.0;2018-08-16;quinta-feira;19:45:00;259.0;60.0;COLATINA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;1;1;0;0;2;1;-19.52225855;-40.66799641
160800.0;2018-08-16;quinta-feira;12:25:00;101.0;266.0;SERRA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-20.19703048;-40.26938324
