id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
231064.0;2019-08-25;domingo;17:35:00;101.0;294.0;CARIACICA;Falta de Atenção à Condução;Colisão com objeto estático;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-20.32545;-40.39597
231060.0;2019-08-25;domingo;17:30:00;101.0;270.0;SERRA;Não guardar distância de segurança;Queda de ocupante de veículo;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Dupla;Reta;Sim;1;0;0;1;0;0;1;1;-20.22662;-40.27075
231053.0;2019-08-25;domingo;16:30:00;101.0;233.8;FUNDAO;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Dupla;Não Informado;Não;2;0;2;0;0;0;2;1;-19.96104;-40.406890000000004
230934.0;2019-08-25;domingo;03:40:00;259.0;48.3;COLATINA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Múltipla;Interseção de vias;Sim;3;0;1;1;1;0;2;2;-19.52285;-40.59357
235357.0;2019-08-25;domingo;09:16:00;262.0;1.7;CARIACICA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Sol;Dupla;Reta;Sim;2;0;0;0;2;0;0;2;-20.32955;-40.354929999999996
236699.0;2019-08-25;domingo;18:55:00;101.0;448.5;MIMOSO DO SUL;Condutor Dormindo;Colisão frontal;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Simples;Reta;Não;2;1;0;0;1;0;0;2;-21.13028;-41.280440000000006
234521.0;2019-08-26;segunda-feira;06:00:00;101.0;334.0;GUARAPARI;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Amanhecer;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;2;0;0;2;-20.62138;-40.520109999999995
233554.0;2019-08-26;segunda-feira;04:00:00;101.0;429.5;ATILIO VIVACQUA;Agressão Externa;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Simples;Reta;Não;21;0;21;0;0;0;21;1;-21.02826;-41.16261
232715.0;2019-08-26;segunda-feira;14:00:00;262.0;27.0;VIANA;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Não Informado;Não;1;0;1;0;0;0;1;1;-20.38399;-40.55226
231477.0;2019-08-26;segunda-feira;11:05:00;262.0;3.6;CARIACICA;Falta de Atenção à Condução;Engavetamento;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Sim;3;0;0;0;3;0;0;3;-20.33374;-40.36911
231933.0;2019-08-26;segunda-feira;18:25:00;101.0;144.9;LINHARES;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;2;0;0;1;1;0;1;2;-19.359579999999998;-40.06422
