id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
301704.0;2020-08-15;sábado;19:30:00;101.0;166.0;ARACRUZ;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1;0;0;0;1;0;0;1;-19.52077663;-40.14566638
301681.0;2020-08-15;sábado;16:15:00;101.0;270.7;SERRA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Viaduto;Sim;2;0;0;0;2;0;0;2;-20.22662056;-40.27075088
301625.0;2020-08-15;sábado;10:30:00;393.0;0.7;CACHOEIRO DE ITAPEMIRIM;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;3;0;2;0;0;1;2;2;-20.841324;-41.159290000000006
301600.0;2020-08-15;sábado;10:20:00;101.0;422.0;ATILIO VIVACQUA;Mal Súbito;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Interseção de vias;Não;1;0;1;0;0;0;1;1;-20.98070633;-41.11625915
301597.0;2020-08-15;sábado;10:00:00;101.0;380.5;ICONHA;Ultrapassagem Indevida;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;2;0;2;0;0;0;2;1;-20.80767317;-40.83488482
301531.0;2020-08-15;sábado;00:05:00;101.0;75.5;SAO MATEUS;Falta de Atenção à Condução;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;2;0;0;0;2;1;-18.78487912;-39.87911084
301566.0;2020-08-15;sábado;07:00:00;101.0;269.5;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Interseção de vias;Sim;2;0;1;0;1;0;1;2;-20.21740496;-40.26990578
301962.0;2020-08-16;domingo;23:50:00;101.0;204.2;JOAO NEIVA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Simples;Curva;Sim;4;1;0;2;0;1;2;2;-19.75196174;-40.3803134
301930.0;2020-08-16;domingo;19:30:00;262.0;106.0;VENDA NOVA DO IMIGRANTE;Ingestão de Álcool;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;4;0;4;0;0;0;4;2;-20.40352684;-41.11192574
301917.0;2020-08-16;domingo;19:15:00;101.0;206.0;JOAO NEIVA;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;0;0;1;0;0;1;-19.76435421;-40.37263919
301824.0;2020-08-16;domingo;10:20:00;262.0;3.8;CARIACICA;Ingestão de Álcool;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Interseção de vias;Sim;1;0;1;0;0;0;1;1;-20.33582458;-40.37654757
301818.0;2020-08-16;domingo;07:00:00;482.0;108.8;GUACUI;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;1;0;1;0;0;0;1;1;-20.78769691;-41.68746420000001
301771.0;2020-08-16;domingo;03:00:00;101.0;266.5;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Interseção de vias;Sim;3;0;1;0;2;0;1;2;-20.190199;-40.26828891
302066.0;2020-08-17;segunda-feira;14:56:00;101.0;144.9;LINHARES;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Não;2;0;1;0;1;0;1;2;-19.35969658;-40.06448865
302053.0;2020-08-17;segunda-feira;12:35:00;101.0;65.6;SAO MATEUS;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Múltipla;Reta;Sim;3;0;2;0;1;0;2;2;-18.70935945;-39.87762087
302057.0;2020-08-17;segunda-feira;13:10:00;101.0;69.9;SAO MATEUS;Ingestão de Álcool;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1;0;0;1;0;0;1;1;-18.74453703;-39.86164665
302070.0;2020-08-17;segunda-feira;15:30:00;101.0;144.9;LINHARES;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;2;0;1;2;-19.35188295;-40.0636685
302079.0;2020-08-17;segunda-feira;15:20:00;101.0;287.9;CARIACICA;Defeito Mecânico no Veículo;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;4;0;1;0;3;0;1;4;-20.26493528;-40.38471702
