id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
251304.0;2019-11-23;sábado;05:10:00;101.0;79,3;SAO MATEUS;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Reta;Não;1;0;0;0;1;0;0;1;-18,81418;-39,90122
251342.0;2019-11-23;sábado;10:00:00;101.0;269;SERRA;Sinalização da via insuficiente ou inadequada;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;2;0;0;0;2;2;-20,2174;-40,26991
251346.0;2019-11-23;sábado;10:10:00;101.0;125;SOORETAMA;Falta de Atenção à Condução;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-19,18496;-40,0943
251430.0;2019-11-23;sábado;19:00:00;101.0;268,1;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Vento;Dupla;Reta;Sim;3;0;0;1;0;2;1;2;-20,20842;-40,2694
251467.0;2019-11-23;sábado;22:00:00;101.0;262;SERRA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;3;0;0;1;2;0;1;3;-20,15723;-40,27678
251470.0;2019-11-23;sábado;22:10:00;262.0;46;MARECHAL FLORIANO;Falta de Atenção à Condução;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-20,40566;-40,6728
251474.0;2019-11-23;sábado;22:30:00;101.0;262;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;3;0;0;2;1;0;2;2;-20,15723;-40,27678
251501.0;2019-11-24;domingo;00:10:00;101.0;266,5;SERRA;Ingestão de Álcool;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Não Informado;Sim;3;0;0;1;2;0;1;3;-20,1902;-40,26829
251502.0;2019-11-23;sábado;21:05:00;101.0;272,2;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão com objeto estático;Sem Vítimas;Plena Noite;Decrescente;Chuva;Dupla;Reta;Não;1;0;0;0;0;1;0;1;-20,22105;-40,29013
251541.0;2019-11-24;domingo;05:30:00;101.0;142;LINHARES;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-19,33459;-40,06755
251601.0;2019-11-24;domingo;12:10:00;101.0;271,3;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;4;1;0;1;2;0;1;3;-20,23267;-40,27658
251659.0;2019-11-24;domingo;12:15:00;101.0;147;LINHARES;Falta de Atenção à Condução;Colisão com objeto estático;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Reta;Sim;1;0;0;0;1;0;0;1;-19,37887;-40,06658
251660.0;2019-11-24;domingo;17:50:00;101.0;182,2;ARACRUZ;Pista Escorregadia;Colisão transversal;Com Vítimas Fatais;Anoitecer;Crescente;Garoa/Chuvisco;Simples;Curva;Não;6;1;0;5;0;0;5;2;-19,63868;-40,23155
251690.0;2019-11-24;domingo;18:50:00;262.0;158,6;IBATIBA;Velocidade Incompatível;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Nublado;Múltipla;Não Informado;Sim;3;0;0;0;0;3;0;2;-20,23111;-41,49626
251754.0;2019-11-25;segunda-feira;04:20:00;259.0;10,2;JOAO NEIVA;Condutor Dormindo;Colisão com objeto estático;Com Vítimas Fatais;Amanhecer;Decrescente;Nublado;Simples;Reta;Sim;7;4;0;3;0;0;3;1;-19,66651;-40,40359
251776.0;2019-11-25;segunda-feira;07:00:00;259.0;53;COLATINA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;2;0;0;1;1;0;1;2;-19,4999;-40,6294
251792.0;2019-11-25;segunda-feira;07:10:00;101.0;271;SERRA;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Retorno Regulamentado;Sim;2;0;1;0;1;0;1;2;-20,23267;-40,27658
251798.0;2019-11-25;segunda-feira;08:50:00;101.0;270;SERRA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;4;0;1;1;1;1;2;1;-20,22662;-40,27075
251814.0;2019-09-13;sexta-feira;06:40:00;101.0;268;SERRA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;1;0;0;1;1;-20,21115;-40,26976
251817.0;2019-11-25;segunda-feira;11:00:00;259.0;62;COLATINA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-19,53124;-40,68991
251820.0;2019-11-25;segunda-feira;11:00:00;101.0;2;SERRA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;3;0;0;0;3;0;0;3;-20,25288;-40,28812
251892.0;2019-11-25;segunda-feira;18:40:00;101.0;266,5;SERRA;Desobediência às normas de trânsito pelo pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;0;1;1;0;1;1;-20,1902;-40,26829
