id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
100090.0;2018-01-01;segunda-feira;15:40:00;262.0;121.3;CONCEICAO DO CASTELO;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Não;8;0;5;0;2;1;5;4;-20.29375747;-41.23261549
100098.0;2018-01-01;segunda-feira;16:00:00;101.0;204;JOAO NEIVA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Sim;4;0;1;0;3;0;1;4;-19.74757427;-40.37750512
100108.0;2018-01-01;segunda-feira;16:30:00;101.0;307.5;VILA VELHA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Ignorado;Simples;Não Informado;Não;4;0;3;0;1;0;3;1;-20.40288592;-40.4556486
100112.0;2018-01-01;segunda-feira;16:00:00;101.0;428;ATILIO VIVACQUA;Fenômenos da Natureza;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;Não;2;0;2;0;0;0;2;1;-20.91465;-41.19869
100481.0;2018-01-02;terça-feira;22:30:00;101.0;269;SERRA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;1;0;1;1;1;1;-20.21919388;-40.26993513
100470.0;2018-01-02;terça-feira;22:10:00;101.0;364.6;ANCHIETA;Animais na Pista;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;0;0;2;0;0;2;1;-20.7320254;-40.7469925
100426.0;2018-01-02;terça-feira;17:50:00;101.0;67;SAO MATEUS;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;4;0;1;0;3;0;1;2;-18.720545;-39.865883
100403.0;2018-01-02;terça-feira;16:40:00;101.0;380.9;RIO NOVO DO SUL;Velocidade Incompatível;Colisão com objeto estático;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Não;1;0;0;0;1;0;0;1;-20.8113227;-40.83845884
100369.0;2018-01-02;terça-feira;13:00:00;262.0;134;BREJETUBA;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;Não;3;0;0;1;1;1;1;2;-20.2444;-41.3265
100483.0;2018-01-02;terça-feira;22:30:00;101.0;295.9;CARIACICA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Interseção de vias;Sim;1;0;0;1;0;0;1;1;-20.34260496;-40.40637106
100323.0;2018-01-02;terça-feira;11:30:00;101.0;280;SERRA;Pista Escorregadia;Capotamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;1;0;0;0;1;0;0;1;-20.21806629;-40.35295486
100245.0;2018-01-02;terça-feira;07:15:00;262.0;2.9;CARIACICA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Sol;Dupla;Reta;Sim;3;0;1;1;0;1;2;2;-20.3337723;-40.36881477
100217.0;2018-01-02;terça-feira;02:10:00;101.0;245.8;SERRA;Defeito Mecânico no Veículo;Colisão lateral;Sem Vítimas;Plena Noite;Crescente;Nublado;Dupla;Desvio Temporário;Sim;2;0;0;0;2;0;0;2;-20.05957954;-40.37809253
100210.0;2018-01-02;terça-feira;00:38:00;101.0;42;CONCEICAO DA BARRA;Restrição de Visibilidade;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Simples;Reta;Não;7;0;6;0;1;0;6;2;-18.517017;-39.913296
100325.0;2018-01-02;terça-feira;11:30:00;101.0;280;SERRA;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;2;0;0;1;0;1;1;1;-20.217502;-40.352974
100767.0;2018-01-03;quarta-feira;23:45:00;101.0;110;SOORETAMA;Ultrapassagem Indevida;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;3;0;3;0;0;0;3;1;-19.15455334;-40.08023858
